run_index,time,x,y,z,tc1,tc2,tc3,tc4,sma_active
5,2025-06-17T21:12:05.581819,,,0.0,22.34,22.02,21.99,-9999.0,False
5,2025-06-17T21:12:06.581872,,,0.0,22.33,22.02,21.99,-9999.0,True
5,2025-06-17T21:12:07.581928,,,0.0,22.33,22.02,21.99,-9999.0,False
5,2025-06-17T21:12:08.581818,,,0.0,22.33,22.02,21.99,-9999.0,False
5,2025-06-17T21:12:09.581925,241,201,0.0,22.33,22.02,21.98,-9999.0,False
5,2025-06-17T21:12:10.581922,,,0.0,22.33,22.02,21.98,-9999.0,False
5,2025-06-17T21:12:11.581914,,,0.0,22.33,22.01,21.98,-9999.0,False
5,2025-06-17T21:12:12.581944,,,0.0,22.32,22.01,21.98,-9999.0,False
5,2025-06-17T21:12:13.581952,,,0.0,22.32,22.01,21.98,-9999.0,False
5,2025-06-17T21:12:14.581931,,,0.0,22.32,22.0,21.98,-9999.0,False
5,2025-06-17T21:12:15.581927,241,201,0.0,22.31,22.0,21.98,-9999.0,False
5,2025-06-17T21:12:16.585705,,,0.0,22.31,22.0,21.98,-9999.0,False
5,2025-06-17T21:12:17.581853,,,0.0,22.31,22.0,21.98,-9999.0,False
5,2025-06-17T21:12:18.581825,,,0.0,22.31,22.0,21.97,-9999.0,False
5,2025-06-17T21:12:19.581838,241,201,0.0,22.31,22.0,21.97,-9999.0,False
5,2025-06-17T21:12:20.581865,241,201,0.0,22.3,21.99,21.97,-9999.0,False
